config_id,source,bin_width,u_max,max_k,matrix_size,samples,seed,l2_to_sine_kernel,mean_normalized_spacing,notes
h008_m120_s15,goe,0.025,8,50,120,15,1729,0.179224610877,1,GOE contrast ensemble
h008_m120_s25,gue,0.025,8,50,120,25,1730,0.134766586338,1,GUE sine-kernel comparison
h008_m120_s25,goe,0.025,8,50,120,25,1729,0.152724004794,1,GOE contrast ensemble
h009_m60_s15,gue,0.025,8,100,60,15,1730,0.250411956896,1,GUE sine-kernel comparison
h009_m60_s15,goe,0.025,8,100,60,15,1729,0.26619783151,1,GOE contrast ensemble
h009_m60_s25,gue,0.025,8,100,60,25,1730,0.186137468376,1,GUE sine-kernel comparison
h009_m60_s25,goe,0.025,8,100,60,25,1729,0.210785911251,1,GOE contrast ensemble
h009_m80_s15,gue,0.025,8,100,80,15,1730,0.224138702661,1,GUE sine-kernel comparison
h009_m80_s15,goe,0.025,8,100,80,15,1729,0.229135460452,1,GOE contrast ensemble
h009_m80_s25,gue,0.025,8,100,80,25,1730,0.176834859112,1,GUE sine-kernel comparison
h009_m80_s25,goe,0.025,8,100,80,25,1729,0.185091095312,1,GOE contrast ensemble
h009_m120_s15,gue,0.025,8,100,120,15,1730,0.171004105048,1,GUE sine-kernel comparison
h009_m120_s15,goe,0.025,8,100,120,15,1729,0.179224610877,1,GOE contrast ensemble
h009_m120_s25,gue,0.025,8,100,120,25,1730,0.134766586338,1,GUE sine-kernel comparison
h009_m120_s25,goe,0.025,8,100,120,25,1729,0.152724004794,1,GOE contrast ensemble
h010_m60_s15,gue,0.05,3,25,60,15,1730,0.156271131419,1,GUE sine-kernel comparison
h010_m60_s15,goe,0.05,3,25,60,15,1729,0.181304885235,1,GOE contrast ensemble
h010_m60_s25,gue,0.05,3,25,60,25,1730,0.117494815733,1,GUE sine-kernel comparison
h010_m60_s25,goe,0.05,3,25,60,25,1729,0.147805465513,1,GOE contrast ensemble
h010_m80_s15,gue,0.05,3,25,80,15,1730,0.161800937202,1,GUE sine-kernel comparison
h010_m80_s15,goe,0.05,3,25,80,15,1729,0.159725447994,1,GOE contrast ensemble
h010_m80_s25,gue,0.05,3,25,80,25,1730,0.129718432149,1,GUE sine-kernel comparison
h010_m80_s25,goe,0.05,3,25,80,25,1729,0.138567291483,1,GOE contrast ensemble
h010_m120_s15,gue,0.05,3,25,120,15,1730,0.117145272454,1,GUE sine-kernel comparison
h010_m120_s15,goe,0.05,3,25,120,15,1729,0.138154030342,1,GOE contrast ensemble
h010_m120_s25,gue,0.05,3,25,120,25,1730,0.0861556252779,1,GUE sine-kernel comparison
h010_m120_s25,goe,0.05,3,25,120,25,1729,0.134413658862,1,GOE contrast ensemble
h011_m60_s15,gue,0.05,3,50,60,15,1730,0.156271131419,1,GUE sine-kernel comparison
h011_m60_s15,goe,0.05,3,50,60,15,1729,0.181304885235,1,GOE contrast ensemble
h011_m60_s25,gue,0.05,3,50,60,25,1730,0.117494815733,1,GUE sine-kernel comparison
h011_m60_s25,goe,0.05,3,50,60,25,1729,0.147805465513,1,GOE contrast ensemble
h011_m80_s15,gue,0.05,3,50,80,15,1730,0.161800937202,1,GUE sine-kernel comparison
h011_m80_s15,goe,0.05,3,50,80,15,1729,0.159725447994,1,GOE contrast ensemble
h011_m80_s25,gue,0.05,3,50,80,25,1730,0.129718432149,1,GUE sine-kernel comparison
h011_m80_s25,goe,0.05,3,50,80,25,1729,0.138567291483,1,GOE contrast ensemble
h011_m120_s15,gue,0.05,3,50,120,15,1730,0.117145272454,1,GUE sine-kernel comparison
h011_m120_s15,goe,0.05,3,50,120,15,1729,0.138154030342,1,GOE contrast ensemble
h011_m120_s25,gue,0.05,3,50,120,25,1730,0.0861556252779,1,GUE sine-kernel comparison
h011_m120_s25,goe,0.05,3,50,120,25,1729,0.134413658862,1,GOE contrast ensemble
h012_m60_s15,gue,0.05,3,100,60,15,1730,0.156271131419,1,GUE sine-kernel comparison
h012_m60_s15,goe,0.05,3,100,60,15,1729,0.181304885235,1,GOE contrast ensemble
h012_m60_s25,gue,0.05,3,100,60,25,1730,0.117494815733,1,GUE sine-kernel comparison
